"id","user_id","device_id","device_type","os","game_type","player_sex","player_province","player_city","timestamp","sceneId","ext","created_at","updated_at"
"00099cdd60635363c398a8b1603c40e2","i3100002da3b6a33e57dbabf5612a226517",,"{""brand"":""iPhone"",""model"":""iPhone XR<iPhone11,8>""}","iOS 13.1.3","2",,,,"1574345129","1001",,"2019-11-21 22:05:29","2019-11-21 22:05:29"
"000f2443ca4a6125d0ff877127a71de6","i3100135d360000e8228af0b3fd3a0753f9",,"{""brand"":""HUAWEI"",""model"":""SPN-AL00""}","Android 9","2",,,,"1574397064","1095",,"2019-11-22 12:31:04","2019-11-22 12:31:05"
"00122937426684ba1b759937ac0d0182","i3100129d2fc95019cbaabe4533cd92aba2",,"{""brand"":""iPhone"",""model"":""iPhone XR<iPhone11,8>""}","iOS 12.3.1","2",,,,"1574334972","1095",,"2019-11-21 19:16:12","2019-11-21 19:16:12"
"00337a53fac62e286e4c83822eb776ee","i3100002de7b1599802d4b8bf06ba93074b",,"{""brand"":""iPhone"",""model"":""iPhone 6<iPhone7,2>""}","iOS 12.4.2","2",,,,"1574311150","1089",,"2019-11-21 12:39:10","2019-11-21 12:39:10"
"003a7336e1e1b6246a2a4c3d965f49c4","i3100129df30a58171ba81fcbcb44c8c8f3",,"{""brand"":""iPhone"",""model"":""unknown<iPhone12,1>""}","iOS 13.1.3","2",,,,"1574233669","1095",,"2019-11-20 15:07:49","2019-11-20 15:07:49"
"0046a7280512057d1c906884ff821b0e","i3100129da9e8ac2800b9b70631386f29d1",,"{""brand"":""iPhone"",""model"":""iPhone 7 Plus<iPhone9,2>""}","iOS 13.1.3","2",,,,"1574222119","1095",,"2019-11-20 11:55:19","2019-11-20 11:55:20"
"00613c8fcf8a7a5efb0b5aa5f0f67f24","i3100002d8fc451747a84c3df13d6d84b00",,"{""brand"":""OPPO"",""model"":""PACT00""}","Android 8.1.0","2",,,,"1574266526","1055",,"2019-11-21 00:15:26","2019-11-21 00:15:26"
"0065d8d2b561b0d467699ab54316a913","i3100129dc437ecbe1959279da14e098d86",,"{""brand"":""iPhone"",""model"":""iPhone 7<iPhone9,1>""}","iOS 12.1.2","2",,,,"1574328881","1095",,"2019-11-21 17:34:41","2019-11-21 17:34:41"
"007d2c8c4670fb1c541e42eaa8f387d3","i3100129de5a53242241afb7963c41e54b6",,"{""brand"":""iPhone"",""model"":""iPhone 7 Plus<iPhone9,2>""}","iOS 13.1.3","2",,,,"1574239204","1095",,"2019-11-20 16:40:04","2019-11-20 16:40:04"
"008557adc6035634b7105c043a1c1817","i3100002dfe86e5733d49f1ce3c2afd40ac",,"{""brand"":""iPhone"",""model"":""iPhone 6s<iPhone8,1>""}","iOS 12.4.1","2",,,,"1574247362","1089",,"2019-11-20 18:56:02","2019-11-20 18:56:02"
"0087ae2a22f4c39b747a04a7e55ca4e7","i3100129d7e671bc240f87f3ca079970c65",,"{""brand"":""iPhone"",""model"":""iPhone 5(WiFi,GSM,WCDMA,CDMA2000,LTE)<iPhone5,2>""}","iOS 10.3.4","2",,,,"1574327828","1095",,"2019-11-21 17:17:08","2019-11-21 17:17:08"
"008b988f367534d4fb0ad21d1312e1e3","i3100129d789f982bad8a9a9a4e0a2c653d",,"{""brand"":""iPhone"",""model"":""iPhone 7 Plus<iPhone9,2>""}","iOS 13.1.2","2",,,,"1574247322","1095",,"2019-11-20 18:55:22","2019-11-20 18:55:22"
"0096517d0bfd2952fd45b6b3221ce2ea","i3100129d727bbf2157ea6adf1b3a46bd91",,"{""brand"":""iPhone"",""model"":""iPhone 8 Plus (GSM+CDMA)<iPhone10,2>""}","iOS 13.2.2","2",,,,"1574321373","1095",,"2019-11-21 15:29:33","2019-11-21 15:29:33"
